id,電話番号,家賃,管理費_共益費,敷金,礼金,保証金,敷引_償却,所在地,駅徒歩,間取り,専有面積,築年数,階,向き,建物種別,間取り詳細,構造,階建,築年月,エネルギー消費性能,断熱性能,目安光熱費,損保,駐車場,入居,取引態様,条件,取り扱い店舗物件コード,SUUMO物件コード,総戸数,情報更新日,次回更新日,契約期間,保証会社,ほか諸費用,備考,create_at
11,06-6310-1962,8.3万円,13000円,-,10万円,-,-,大阪府大阪市淀川区十三元今里１,"阪急神戸線/十三駅 歩9分
ＪＲ東海道本線/塚本駅 歩12分
阪急神戸線/神崎川駅 歩24分",1LDK,30.43m2,築5年,6階,南,マンション,洋4.5 LDK8.0,鉄筋コン,6階/8階建,2020年10月,-,-,-,2.4万円2年,近隣20m17000円,即,仲介,単身者可/二人入居可/子供可/ペット相談/事務所利用相談/ルームシェア相談,798499,100452972439,21戸,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 保証会社に基づく。,更新料　旧賃料1.00ヶ月分　室内清掃費用　49500円　水道代（１人入居）　月額2750円,ハウスモ江坂店では経験豊富なスタッフが在籍しており、大阪府内全域でお部屋探しが可能です。インターネットに掲載している物件はごく一部ですので是非お気軽にお問い合わせ下さいませ。各種クレジットカードも利用可能です。賃貸、売買、事務所、店舗、全て対応可能ですのでお気軽にお尋ね下さいませ。,2025-09-03 04:31:23
12,0120-825481,5.6万円,7000円,-,-,-,-,大阪府大阪市淀川区十三元今里１,"阪急京都線/十三駅 歩6分
阪急神戸線/十三駅 歩6分
ＪＲ東海道本線/塚本駅 歩15分",1K,19.47m2,築9年,3階,北,マンション,洋6,鉄筋コン,3階/10階建,2017年8月,-,-,-,2万円2年,近隣200m20000円,即,仲介,単身者可,22325,100452832947,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,日本賃貸保証利用必 初回保証料：総賃料の40％,,,2025-09-03 04:31:27
13,0798-39-7711,5.7万円,7000円,-,-,-,-,大阪府大阪市淀川区十三元今里１,"阪急神戸線/十三駅 歩6分
阪急宝塚線/十三駅 歩6分
ＪＲ東海道本線/塚本駅 歩15分",1K,20.35m2,築9年,5階,北西,マンション,洋6 K2,鉄筋コン,5階/10階建,2017年8月,-,-,-,要,近隣200m17000円,25年10月下旬,仲介,単身者可/ペット相談,67419725,100458056286,-,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 初期費用は総賃料の４０％,,ダイコクドラッグ十三駅西口店まで534m/マツモトキヨシ十三駅東口店まで663m/◆賃貸専門店のホームメイト◆当店では、ベテランスタッフが安心して新生活を送って頂けますよう精一杯のサポートを致します。ご内見の際は、現地集合やお問い合わせ物件の最寄り駅集合も可能です♪初期費用のクレジット決済も当店は可能ですので、ご利用の際はスタッフまでお申し付け下さいませ（＾ｏ＾）／,2025-09-03 04:32:29
14,06-6307-1521,5.8万円,7000円,-,-,-,-,大阪府大阪市淀川区十三元今里１,"阪急神戸線/十三駅 歩5分
ＪＲ東海道本線/塚本駅 歩13分
阪急神戸線/神崎川駅 歩20分",1K,19.47m2,築9年,6階,-,マンション,洋6,鉄筋コン,6階/10階建,2017年9月,-,-,-,要,近隣50m22000円,相談,仲介,-,-,100456267729,-,2025/08/29,次回更新日は情報更新日より８日以内,,保証会社利用必 総賃料50％,,巡回管理,2025-09-03 04:31:34
15,072-763-4146,5.9万円,7000円,-,-,-,-,大阪府大阪市淀川区十三元今里１,"阪急宝塚線/十三駅 歩8分
ＪＲ東海道本線/塚本駅 歩15分
阪急神戸線/神崎川駅 歩23分",1K,20.35m2,築9年,8階,北,マンション,洋6 K2,鉄筋コン,8階/10階建,2017年9月,-,-,-,2万円2年,-,相談,仲介,ペット相談,13863062,100451148604,27戸,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 Pマスター保証　　初回保証料：総賃料の50％または79.5％、更新保証料15000円、口座振替手数料,,阪急電鉄宝塚線 中津駅徒歩25分/ハウスクリーニング費用／契約時（税込）/44000円、ペット飼育時／礼金1ヶ月/59000円、鍵交換代/22000円,2025-09-03 04:31:37
16,06-6195-4733,8.1万円,7000円,-,15万円,-,-,大阪府大阪市淀川区木川西１,"阪急京都線/十三駅 歩8分
地下鉄御堂筋線/西中島南方駅 歩15分
阪急京都線/南方駅 歩15分",1LDK,41.95m2,築18年,2階,南,アパート,洋4 LDK12,軽量鉄骨,2階/2階建,2008年3月,-,-,-,要,近隣250m22000円,相談,仲介,二人入居可/子供可,12474310,100454396048,8戸,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 初回保証委託料：35，000円（非課税） 月額保証料 (月額賃料等×１％+800円 非課税) + 口座振替手数料90円（税別）,水道料　2200円／月額　町内会費　330円／月額　更新料　1ヶ月,阪急神戸本線 中津駅徒歩16分,2025-09-03 04:31:42
17,072-778-9100,7.3万円,4100円,-,11万円,-,-,大阪府大阪市淀川区加島２,"ＪＲ東西線/加島駅 歩10分
阪急神戸線/神崎川駅 歩21分
ＪＲ東西線/御幣島駅 歩28分",1LDK,45.97m2,築13年,2階,南西,アパート,洋6 LDK11.00,木造,2階/2階建,2013年3月,-,-,-,要,-,25年11月中旬,仲介,-,368-1068059,100458109857,-,2025/09/02,次回更新日は情報更新日より１５日以内,,保証会社利用必 契約時保証委託料：２２，０００円／月額保証委託料：賃料総額の２．２％又は５．５％,,契約時に退去時のクリーニング費として￥60000が必要となります。/更新事務手数料22000円/収納手数料（月額）170円/24時間サポート費用（月額）330円/鍵セット費3300円,2025-09-03 04:32:44
18,0120-905401,6.27万円,4400円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩7分
ＪＲ東西線/加島駅 歩20分
阪急京都線/十三駅 歩20分",1K,20.72m2,新築,2階,西,マンション,洋6,鉄筋コン,2階/12階建,2025年8月,-,-,-,2.2万円2年,近隣200m18000円,即,仲介,単身者可/ペット相談,23282,100456567840,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 初回：総賃料30％,,,2025-09-03 04:31:49
19,06-6481-3510,6.32万円,4000円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
ＪＲ東西線/加島駅 歩23分
阪急神戸線/十三駅 歩24分",1K,21.09m2,新築,2階,西,マンション,洋6,鉄筋コン,2階/12階建,2025年8月,-,-,-,要,近隣50m15000円,即,仲介,二人入居可/ペット相談,3796416,100452506445,-,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,,,,2025-09-03 04:31:53
20,06-6476-7588,6.31万円,4400円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩7分
阪急神戸線/十三駅 歩22分
阪急宝塚線/十三駅 歩22分",1K,20.72m2,新築,3階,西,マンション,洋6,鉄筋コン,3階/12階建,2025年8月,-,-,-,要,近隣200m16000円,即,仲介,単身者可/ペット相談,67147749,100453767100,-,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 初期費用は総賃料の３０％,室内清掃費用３３０００円,阪急電鉄京都線十三駅徒歩22分/ファミリーマート三津屋中三丁目まで576m/ファミリーマート淀川新高二丁目まで653m/当店ではベテランスタッフが、お客様に安心して新生活を送って頂けますよう精一杯のサポートを致しますｍ（．＿．）ｍご内見の際は、現地集合やお問い合わせ物件の最寄り駅集合も可能です♪ＪＲ千里丘駅前の立地で、お立ち寄りの際も便利です（＾＾♪初期費用のクレジット決済も可能ですので、ご利用の際はスタッフまでお申し付け下さいませ（＾ｏ＾）／,2025-09-03 04:31:57
21,06-4305-4464,6.27万円,4800円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
阪急宝塚線/三国駅 歩22分
ＪＲ東西線/加島駅 歩24分",1K,20.72m2,新築,2階,西,マンション,K,鉄筋コン,2階/12階建,2025年8月,-,-,-,要,近隣90m16500円,即,仲介,ペット相談,110771189,100450744653,-,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 初回１００％更新なしｏｒ初回５０％更新１万／年,,近隣駐車場有り　保証会社:全保連,2025-09-03 04:32:57
22,06-6755-8023,6.32万円,4400円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
ＪＲ東西線/加島駅 歩23分
阪急神戸線/十三駅 歩23分",1K,21.09m2,新築,2階,西,マンション,洋6,鉄筋コン,2階/12階建,2025年8月,-,-,-,2.2万円2年,-,即,仲介,ペット相談,1847825,100457597985,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 初回総賃料の30％、以後1年更新で20000円 、決済サービス料330円/月,更新料　27500円　スマサポコンシェル　月額1320円,アンティホームなら仲介手数料無料です。物件の詳細や初期費用ついてはご遠慮なくご相談ください。また分割ローンやクレジットカード決済も可能です。ご案内の際は現地待ち合わせ、送迎サービスもございます。お気軽にお申し付けください。,2025-09-03 04:32:12
23,078-855-9599,6.31万円,4500円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩7分
阪急神戸線/十三駅 歩20分
ＪＲ東海道本線/塚本駅 歩22分",1K,21.46m2,新築,2階,西,マンション,洋6,鉄筋コン,2階/12階建,2025年8月,-,-,-,-,-,即,仲介,単身者可/二人入居可/ペット相談,126156,100449781323,-,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 初回保証料30％,,,2025-09-03 04:32:08
24,06-6476-7588,6.31万円,4500円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩7分
阪急神戸線/十三駅 歩22分
阪急宝塚線/十三駅 歩22分",1K,21.46m2,新築,2階,西,マンション,洋6,鉄筋コン,2階/12階建,2025年8月,-,-,-,要,近隣200m16000円,即,仲介,単身者可/ペット相談,67147737,100453767119,-,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 初期費用は総賃料の３０％,室内清掃費用３３０００円,阪急電鉄京都線十三駅徒歩22分/ファミリーマート三津屋中三丁目まで576m/ファミリーマート淀川新高二丁目まで653m/当店ではベテランスタッフが、お客様に安心して新生活を送って頂けますよう精一杯のサポートを致しますｍ（．＿．）ｍご内見の際は、現地集合やお問い合わせ物件の最寄り駅集合も可能です♪ＪＲ千里丘駅前の立地で、お立ち寄りの際も便利です（＾＾♪初期費用のクレジット決済も可能ですので、ご利用の際はスタッフまでお申し付け下さいませ（＾ｏ＾）／,2025-09-03 04:32:11
25,06-6755-8023,6.32万円,4400円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
ＪＲ東西線/加島駅 歩23分
阪急神戸線/十三駅 歩23分",1K,21.09m2,新築,2階,西,マンション,洋6,鉄筋コン,2階/12階建,2025年8月,-,-,-,2.2万円2年,-,即,仲介,ペット相談,1847571,100451458565,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 初回総賃料の30％、以後1年更新で20000円 、決済サービス料330円/月,更新料　27500円　スマサポコンシェル　月額1320円,アンティホームなら仲介手数料無料です。物件の詳細や初期費用ついてはご遠慮なくご相談ください。また分割ローンやクレジットカード決済も可能です。ご案内の際は現地待ち合わせ、送迎サービスもございます。お気軽にお申し付けください。,2025-09-03 08:17:47
26,06-4305-4464,6.31万円,4800円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
阪急宝塚線/三国駅 歩22分
ＪＲ東西線/加島駅 歩24分",1K,21.46m2,新築,2階,西,マンション,K,鉄筋コン,2階/12階建,2025年8月,-,-,-,要,近隣90m16500円,即,仲介,ペット相談,110771190,100450744808,-,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 初回１００％更新なしｏｒ初回５０％更新１万／年,,近隣駐車場有り　保証会社:全保連,2025-09-03 04:33:21
27,06-4305-4464,6.31万円,4800円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
阪急宝塚線/三国駅 歩22分
ＪＲ東西線/加島駅 歩24分",1K,21.46m2,新築,2階,西,マンション,K,鉄筋コン,2階/12階建,2025年8月,-,-,-,要,近隣90m16500円,即,仲介,ペット相談,110771188,100450745014,-,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 初回１００％更新なしｏｒ初回５０％更新１万／年,,近隣駐車場有り　保証会社:全保連,2025-09-03 04:33:31
28,06-6755-8023,6.35万円,4400円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
ＪＲ東西線/加島駅 歩23分
阪急神戸線/十三駅 歩23分",1K,20.72m2,新築,4階,西,マンション,洋6,鉄筋コン,4階/12階建,2025年8月,-,-,-,2.2万円2年,-,即,仲介,ペット相談,1901587,100457602399,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 初回総賃料の30％、以後1年更新で20000円 、決済サービス料330円/月,更新料　27500円　スマサポコンシェル　月額1320円,アンティホームなら仲介手数料無料です。物件の詳細や初期費用ついてはご遠慮なくご相談ください。また分割ローンやクレジットカード決済も可能です。ご案内の際は現地待ち合わせ、送迎サービスもございます。お気軽にお申し付けください。,2025-09-03 04:34:30
29,06-4305-4464,6.31万円,4800円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
阪急宝塚線/三国駅 歩22分
ＪＲ東西線/加島駅 歩24分",1K,20.72m2,新築,3階,西,マンション,K,鉄筋コン,3階/12階建,2025年8月,-,-,-,要,近隣90m16500円,即,仲介,ペット相談,110771316,100450744929,-,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 初回１００％更新なしｏｒ初回５０％更新１万／年,,近隣駐車場有り　保証会社:全保連,2025-09-03 08:17:51
30,0800-7770216,6.35万円,4500円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
阪急神戸線/十三駅 歩23分
ＪＲ東西線/加島駅 歩23分",1K,21.46m2,新築,3階,西,マンション,洋6 K2.0,鉄筋コン,3階/12階建,2025年7月,-,-,-,2.2万円2年,-,相談,仲介,ペット相談,HC2-5031860-303-0265,100453206425,71戸,2025/09/03,次回更新日は情報更新日より１５日以内,,保証会社利用必 初回保証料 月額総賃料の30％ 決済サービス料330円/月 更新料20 000円/年,更新料　27500円　室内清掃費用　33000円　月額：スマサポコンシェル　1320円　決済サービス料　330円,【ペット飼育可】小型犬or猫どちらか一匹迄飼育可　※飼育時敷金1ヶ月（賃料のみ）必要 【短期違約金】1年未満の解約は家賃の1ヶ月分 バイク置き場：有料　駐輪場：有料,2025-09-03 08:17:55
31,078-855-9599,6.35万円,4500円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩7分
阪急神戸線/十三駅 歩20分
ＪＲ東海道本線/塚本駅 歩22分",1K,21.46m2,新築,3階,西,マンション,洋6,鉄筋コン,3階/12階建,2025年8月,-,-,-,-,-,即,仲介,単身者可/二人入居可/ペット相談,126229,100449839643,-,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 初回保証料30％,,,2025-09-03 04:34:46
32,06-6476-7588,6.36万円,4400円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩7分
阪急神戸線/十三駅 歩22分
阪急宝塚線/十三駅 歩22分",1K,21.09m2,新築,3階,西,マンション,洋6,鉄筋コン,3階/12階建,2025年8月,-,-,-,要,近隣200m16000円,即,仲介,単身者可/ペット相談,67147747,100453767184,-,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 初期費用は総賃料の３０％,室内清掃費用３３０００円,阪急電鉄京都線十三駅徒歩22分/ファミリーマート三津屋中三丁目まで576m/ファミリーマート淀川新高二丁目まで653m/当店ではベテランスタッフが、お客様に安心して新生活を送って頂けますよう精一杯のサポートを致しますｍ（．＿．）ｍご内見の際は、現地集合やお問い合わせ物件の最寄り駅集合も可能です♪ＪＲ千里丘駅前の立地で、お立ち寄りの際も便利です（＾＾♪初期費用のクレジット決済も可能ですので、ご利用の際はスタッフまでお申し付け下さいませ（＾ｏ＾）／,2025-09-03 04:32:53
33,06-6476-7588,6.36万円,4400円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩7分
阪急神戸線/十三駅 歩22分
阪急宝塚線/十三駅 歩22分",1K,21.09m2,新築,3階,西,マンション,洋6,鉄筋コン,3階/12階建,2025年8月,-,-,-,要,近隣200m16000円,即,仲介,単身者可/ペット相談,67147751,100453767169,-,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 初期費用は総賃料の３０％,室内清掃費用３３０００円,阪急電鉄京都線十三駅徒歩22分/ファミリーマート三津屋中三丁目まで576m/ファミリーマート淀川新高二丁目まで653m/当店ではベテランスタッフが、お客様に安心して新生活を送って頂けますよう精一杯のサポートを致しますｍ（．＿．）ｍご内見の際は、現地集合やお問い合わせ物件の最寄り駅集合も可能です♪ＪＲ千里丘駅前の立地で、お立ち寄りの際も便利です（＾＾♪初期費用のクレジット決済も可能ですので、ご利用の際はスタッフまでお申し付け下さいませ（＾ｏ＾）／,2025-09-03 08:17:59
34,06-4305-4464,6.32万円,4800円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
阪急宝塚線/三国駅 歩22分
ＪＲ東西線/加島駅 歩24分",1K,21.09m2,新築,2階,西,マンション,K,鉄筋コン,2階/12階建,2025年8月,-,-,-,要,近隣90m16500円,即,仲介,ペット相談,110771187,100450744997,-,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 初回１００％更新なしｏｒ初回５０％更新１万／年,,近隣駐車場有り　保証会社:全保連,2025-09-03 08:18:04
35,06-4305-4464,6.32万円,4800円,-,-,-,-,大阪府大阪市淀川区三津屋北２,"阪急神戸線/神崎川駅 歩8分
阪急宝塚線/三国駅 歩22分
ＪＲ東西線/加島駅 歩24分",1K,21.09m2,新築,2階,西,マンション,K,鉄筋コン,2階/12階建,2025年8月,-,-,-,要,近隣90m16500円,即,仲介,ペット相談,110771191,100450744614,-,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 初回１００％更新なしｏｒ初回５０％更新１万／年,,近隣駐車場有り　保証会社:全保連,2025-09-03 04:33:07
36,06-6307-3339,6.36万円,4500円,-,-,-,-,大阪府大阪市淀川区三津屋北２,阪急神戸線/神崎川駅 歩8分,1K,21.46m2,新築,3階,西,マンション,洋6 K,鉄筋コン,3階/12階建,2025年8月,-,-,-,要,平置駐,即,仲介,ペット相談,110974376,100458132932,71戸,2025/09/03,次回更新日は情報更新日より８日以内,,保証会社利用必 初回３０％　決済サービス料３３０円／月　更新料２万円／年,スマサポコンシェル　１３２０円（月額）,［退去時費用　クリーニング代：３３，０００円、鍵交換代：２７，５００円※故意・過失等別途実費］短期解約違約金あり。　保証会社:ルームバンクインシュア,2025-09-03 04:34:07
